team_id,team_name,espn_logo_abbr,logo_filename,logo_relative_path,primary_color,secondary_color,logo_source_url,download_status
ARI,Arizona Cardinals,ari,ARI.png,../assets/nfl_logos/ARI.png,#97233F,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,DOWNLOADED
ATL,Atlanta Falcons,atl,ATL.png,../assets/nfl_logos/ATL.png,#A71930,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,DOWNLOADED
BAL,Baltimore Ravens,bal,BAL.png,../assets/nfl_logos/BAL.png,#241773,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,DOWNLOADED
BUF,Buffalo Bills,buf,BUF.png,../assets/nfl_logos/BUF.png,#00338D,#C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,DOWNLOADED
CAR,Carolina Panthers,car,CAR.png,../assets/nfl_logos/CAR.png,#0085CA,#101820,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,DOWNLOADED
CHI,Chicago Bears,chi,CHI.png,../assets/nfl_logos/CHI.png,#0B162A,#C83803,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,DOWNLOADED
CIN,Cincinnati Bengals,cin,CIN.png,../assets/nfl_logos/CIN.png,#FB4F14,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,DOWNLOADED
CLE,Cleveland Browns,cle,CLE.png,../assets/nfl_logos/CLE.png,#311D00,#FF3C00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,DOWNLOADED
DAL,Dallas Cowboys,dal,DAL.png,../assets/nfl_logos/DAL.png,#003594,#869397,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,DOWNLOADED
DEN,Denver Broncos,den,DEN.png,../assets/nfl_logos/DEN.png,#FB4F14,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,DOWNLOADED
DET,Detroit Lions,det,DET.png,../assets/nfl_logos/DET.png,#0076B6,#B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,DOWNLOADED
GB,Green Bay Packers,gb,GB.png,../assets/nfl_logos/GB.png,#203731,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,DOWNLOADED
